Census Tract,County,Total:,Total:!!White alone,Total:!!Black or African American alone,Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Some other race alone,Total:!!Two or more races:,Total:!!Two or more races:!!Two races including Some other race,"Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
141.08,Monterey,"5,657","3,105",758,0,567,0,927,300,44,256
141.09,Monterey,"3,031","1,679",133,16,285,197,331,390,82,308
141.1,Monterey,"6,510","5,581",13,0,448,0,311,157,0,157
142.01,Monterey,"5,008","2,134",287,11,918,132,893,633,57,576
142.02,Monterey,"4,519","2,142",374,0,937,29,564,473,0,473
143.01,Monterey,"3,663","2,288",265,18,537,61,200,294,0,294
143.02,Monterey,"4,319","2,948",263,0,354,25,387,342,0,342
145,Monterey,"4,601","2,814",80,97,502,0,921,187,69,118
146.01,Monterey,"5,334","3,040",0,268,31,0,"1,384",611,482,129
147,Monterey,"7,738","4,138",148,0,532,201,"2,089",630,51,579
148,Monterey,"6,252","2,166",36,28,130,0,"3,310",582,532,50
9800,Monterey,0,0,0,0,0,0,0,0,0,0
9900,Monterey,0,0,0,0,0,0,0,0,0,0
2002.01,Napa,"3,804","3,024",23,0,20,0,723,14,9,5
2002.02,Napa,"2,214","1,558",39,0,28,27,361,201,60,141
2002.03,Napa,"2,091","1,525",7,24,0,8,324,203,87,116
2003.01,Napa,"6,153","4,451",0,48,208,0,"1,101",345,139,206
2003.02,Napa,"2,698","1,986",26,0,193,0,269,224,114,110
2004,Napa,"3,688","3,405",16,0,47,0,0,220,0,220
2005.01,Napa,"5,567","3,596",14,117,23,0,"1,674",143,78,65
2005.03,Napa,"1,798","1,164",7,56,230,0,288,53,19,34
2005.04,Napa,"5,343","3,714",54,25,159,0,852,539,280,259
2005.05,Napa,"2,500","1,508",18,31,234,0,426,283,163,120
2006.01,Napa,"5,367","3,765",6,9,112,0,"1,048",427,263,164
2006.02,Napa,"4,399","3,690",2,0,177,0,319,211,149,62
2007.03,Napa,"2,957","2,692",80,0,9,0,123,53,1,52
2007.04,Napa,"5,083","3,671",0,11,72,0,830,499,255,244
2007.05,Napa,"2,838","2,178",77,28,46,0,67,442,167,275
2007.06,Napa,"3,011","2,495",1,0,123,0,228,164,55,109
2007.07,Napa,"3,604","2,713",91,16,161,0,319,304,0,304
2008.02,Napa,"6,600","5,106",31,114,112,0,673,564,259,305
2008.03,Napa,"2,225","1,943",38,5,99,0,25,115,25,90
2008.04,Napa,"5,003","3,985",0,0,29,7,748,234,136,98
2009,Napa,741,373,190,0,38,32,80,28,13,15
2010.03,Napa,"4,647","1,036",713,24,"2,183",0,255,436,25,411
2010.04,Napa,"6,383","1,690",478,7,"2,196",74,"1,226",712,239,473
2010.05,Napa,"2,407",896,77,9,685,0,301,439,186,253
2010.06,Napa,"3,308","1,714",179,8,857,0,94,456,129,327
2010.07,Napa,"3,977","1,714",62,153,"1,191",84,471,302,61,241
2011.01,Napa,"1,839","1,612",4,0,37,0,109,77,11,66
2011.02,Napa,"2,124","1,733",14,70,148,0,112,47,22,25
2012,Napa,"4,807","3,856",0,0,110,0,767,74,0,74
2013,Napa,"3,001","2,572",106,14,81,0,100,128,32,96
2014.01,Napa,"2,821","2,458",117,58,0,0,129,59,0,59
2014.02,Napa,"2,638","2,431",6,0,5,0,74,122,96,26
2014.03,Napa,996,731,0,0,28,0,95,142,0,142
2015,Napa,"1,899","1,628",2,5,32,0,213,19,12,7
2016.01,Napa,"2,788","2,384",32,0,79,0,217,76,48,28
2016.02,Napa,"3,261","3,021",44,13,46,0,85,52,29,23
2017,Napa,"5,194","3,700",244,22,577,13,223,415,210,205
2018,Napa,"1,833","1,447",64,23,18,0,232,49,42,7
2019,Napa,"1,619","1,250",0,16,31,0,36,286,245,41
2020,Napa,"5,346","4,199",0,55,61,16,430,585,554,31
1.02,Nevada,"7,433","6,683",51,37,27,0,100,535,11,524
1.04,Nevada,"2,983","2,829",0,0,43,31,20,60,8,52
1.05,Nevada,"2,942","2,673",0,77,11,0,63,118,43,75
1.06,Nevada,"1,934","1,898",0,0,21,0,0,15,0,15
1.07,Nevada,"6,224","5,725",0,40,29,0,0,430,0,430
2,Nevada,"2,699","2,575",27,10,9,0,0,78,5,73
3,Nevada,"2,564","2,323",16,56,26,0,35,108,1,107
4.01,Nevada,"5,249","4,994",1,44,29,0,13,168,1,167
4.03,Nevada,"1,614","1,277",26,0,2,0,22,287,159,128
4.04,Nevada,"3,665","3,561",0,47,10,0,0,47,0,47
5.02,Nevada,"5,046","4,621",0,22,104,0,0,299,90,209
5.03,Nevada,"1,540","1,478",0,4,0,0,5,53,0,53
5.04,Nevada,"4,222","3,738",6,0,159,0,59,260,18,242
6.01,Nevada,"2,445","2,338",0,0,4,0,0,103,0,103
6.02,Nevada,"4,682","4,365",60,11,11,0,34,201,19,182
7.01,Nevada,"7,257","6,757",0,117,20,0,14,349,67,282
7.02,Nevada,"3,905","3,772",29,0,0,6,11,87,0,87
8.01,Nevada,"5,659","5,111",44,0,168,0,71,265,0,265
8.02,Nevada,"6,582","6,037",45,20,60,42,42,336,18,318
9,Nevada,"3,857","3,637",42,0,132,0,0,46,0,46
12.05,Nevada,"5,214","5,047",0,11,88,0,0,68,0,68
12.07,Nevada,"5,798","4,901",63,0,94,71,463,206,76,130
12.08,Nevada,"1,799","1,674",0,0,12,0,9,104,0,104
12.09,Nevada,"1,594","1,195",0,0,9,0,209,181,141,40
12.1,Nevada,"1,656","1,610",0,0,15,0,2,29,12,17
12.11,Nevada,854,778,0,0,25,0,0,51,15,36
11.01,Orange,"4,787","2,850",123,118,411,0,861,424,258,166
11.02,Orange,"3,580","2,218",178,28,519,0,352,285,158,127
11.03,Orange,"4,751","2,206",204,4,575,0,"1,108",654,609,45
12.01,Orange,"5,533","1,935",18,53,355,0,"2,929",243,134,109
12.02,Orange,"3,841","2,187",0,62,257,0,910,425,413,12
13.01,Orange,"6,715","3,510",254,46,"1,597",0,773,535,325,210
13.03,Orange,"6,396","3,303",114,30,904,0,"1,347",698,528,170
13.04,Orange,"3,684","1,939",58,106,212,0,"1,150",219,172,47
14.01,Orange,"4,487","2,384",103,15,499,7,"1,214",265,193,72
14.02,Orange,"4,591","2,780",97,26,248,0,"1,203",237,106,131
14.03,Orange,"3,717","2,474",22,0,142,0,234,845,718,127
14.04,Orange,"4,100","2,041",28,23,230,0,"1,622",156,89,67
15.01,Orange,"5,826","4,261",2,0,"1,227",0,216,120,72,48
15.03,Orange,"5,237","3,598",94,158,812,96,108,371,104,267
15.04,Orange,"4,474","3,246",22,0,414,0,399,393,81,312
15.05,Orange,"7,404","5,278",195,0,"1,338",0,116,477,168,309
15.06,Orange,"4,157","2,752",0,3,"1,235",0,67,100,48,52
15.07,Orange,"4,850","3,163",89,83,"1,128",0,138,249,55,194
16.02,Orange,"4,637","2,852",14,22,"1,381",12,63,293,87,206
16.03,Orange,"3,931","2,829",75,0,948,0,34,45,3,42
16.04,Orange,"4,614","2,607",0,0,465,57,"1,103",382,360,22
17.04,Orange,"8,059","1,717",267,43,"5,530",0,112,390,118,272
17.05,Orange,"4,490","2,894",45,27,768,0,607,149,14,135
17.06,Orange,"4,043","2,073",0,0,"1,817",0,66,87,0,87
17.08,Orange,"3,978","2,083",5,14,"1,551",0,75,250,250,0
17.09,Orange,"2,918",988,166,0,"1,307",0,221,236,131,105
17.1,Orange,"5,069","1,064",34,11,"3,867",0,50,43,28,15
18.01,Orange,"5,353","3,194",140,0,637,24,"1,240",118,0,118
18.02,Orange,"7,552","4,568",146,0,606,0,"1,562",670,289,381
19.01,Orange,"2,724","1,503",36,20,359,12,466,328,227,101
19.02,Orange,"3,368","1,585",128,52,394,46,478,685,507,178
19.03,Orange,"3,172","1,492",55,5,459,0,"1,008",153,58,95
110,Orange,"6,215","4,756",107,40,677,0,168,467,83,384
111.01,Orange,"4,218","2,314",65,154,662,56,534,433,120,313
111.02,Orange,"4,224","2,306",151,17,743,103,580,324,136,188
112,Orange,"4,637","3,014",86,0,562,0,509,466,229,237
113,Orange,"4,834","3,323",200,60,596,0,226,429,32,397
114.01,Orange,"2,112","1,549",68,7,249,0,101,138,11,127
114.02,Orange,"3,112","2,034",70,0,536,0,186,286,55,231
114.03,Orange,"6,331","4,436",132,43,485,0,615,620,249,371
115.02,Orange,"5,325","3,013",261,0,"1,018",0,319,714,519,195
115.03,Orange,"1,853","1,195",10,0,545,0,16,87,28,59
115.04,Orange,"5,076","3,122",279,0,"1,115",4,264,292,57,235
116.01,Orange,"8,303","3,876",153,53,353,20,"3,302",546,311,235
116.02,Orange,"5,768","3,264",104,55,502,0,"1,392",451,309,142
117.07,Orange,"6,757","4,785",252,0,"1,205",0,27,488,63,425
117.08,Orange,"4,718","3,424",111,15,609,0,274,285,74,211
117.09,Orange,"4,395","3,120",35,9,829,19,56,327,203,124
117.1,Orange,"3,814","2,855",32,12,545,0,114,256,1,255
117.11,Orange,"7,045","4,588",163,44,927,0,678,645,246,399
117.12,Orange,"4,893","2,869",66,0,597,0,710,651,359,292
117.14,Orange,770,400,124,0,140,0,38,68,0,68
117.15,Orange,"6,795","4,486",132,0,985,2,235,955,147,808
117.16,Orange,"5,468","3,008",0,15,"1,742",38,125,540,271,269
117.17,Orange,"2,618","1,877",64,0,426,0,45,206,45,161
117.18,Orange,"3,028","2,333",27,0,373,0,36,259,66,193
117.2,Orange,"5,927","3,562",89,0,307,64,"1,330",575,497,78
117.21,Orange,"5,115","3,622",125,272,202,7,397,490,326,164
117.22,Orange,"2,274","1,332",75,21,378,0,221,247,85,162
218.02,Orange,"7,819","6,506",20,9,865,0,144,275,50,225
218.07,Orange,"4,326","3,175",72,0,521,0,401,157,94,63
218.09,Orange,"3,067","2,300",18,19,391,0,26,313,119,194
218.1,Orange,"3,724","2,601",87,0,492,1,62,481,78,403
218.12,Orange,"6,346","5,099",39,18,605,0,138,447,18,429
218.13,Orange,3,3,0,0,0,0,0,0,0,0
218.14,Orange,"7,712","4,204",375,17,"1,733",0,240,"1,143",414,729
218.16,Orange,"5,271","3,975",1,51,644,0,152,448,145,303
218.17,Orange,"3,362","2,792",0,13,311,14,18,214,0,214
218.2,Orange,"4,894","3,445",289,0,774,0,133,253,32,221
218.21,Orange,"7,485","4,221",410,95,"2,103",0,342,314,39,275
218.22,Orange,"10,146","4,751",137,0,"4,161",0,204,893,363,530
218.23,Orange,"4,290","2,908",2,93,713,74,276,224,130,94
218.24,Orange,"2,630","2,134",0,2,287,0,6,201,20,181
218.25,Orange,"3,222","2,208",63,0,732,0,42,177,14,163
218.26,Orange,"2,627","2,047",59,9,400,0,37,75,26,49
218.27,Orange,"2,623","1,841",107,0,428,0,9,238,17,221
218.28,Orange,"4,350","2,834",90,0,"1,057",18,154,197,82,115
218.29,Orange,"4,842","3,042",27,0,"1,572",0,71,130,32,98
218.3,Orange,"5,576","4,210",57,0,818,0,222,269,85,184
218.31,Orange,"5,272","2,776",168,0,"2,053",0,46,229,104,125
218.32,Orange,"6,084","2,651",35,0,"2,704",0,279,415,153,262
219.03,Orange,"4,251","2,928",50,0,624,0,117,532,384,148
219.05,Orange,"5,276","4,093",167,8,629,7,214,158,23,135
219.12,Orange,"4,716","3,629",0,0,862,0,0,225,37,188
219.13,Orange,"7,683","4,830",14,10,781,0,"1,451",597,346,251
219.14,Orange,"3,965","2,696",110,0,404,0,404,351,222,129
219.15,Orange,"3,927","2,819",17,0,847,0,31,213,123,90
219.16,Orange,"3,014","2,265",0,0,599,0,40,110,32,78
219.17,Orange,"3,020","2,520",43,8,260,0,10,179,60,119
219.18,Orange,"4,653","3,315",5,0,600,0,392,341,68,273
219.19,Orange,"3,424","2,644",22,0,385,0,21,352,31,321
219.2,Orange,"7,220","4,661",136,0,"1,810",0,137,476,136,340
219.21,Orange,"4,195","2,516",119,0,"1,173",0,83,304,172,132
219.22,Orange,"5,171","3,396",155,0,"1,044",0,90,486,104,382
219.23,Orange,"7,482","4,848",291,0,"1,660",0,127,556,205,351
219.24,Orange,"4,398","2,494",123,3,"1,165",16,227,370,183,187
320.02,Orange,"6,332","5,136",54,0,477,31,226,408,164,244
320.03,Orange,"4,972","3,384",92,73,525,12,498,388,107,281
320.11,Orange,"1,673","1,563",5,0,13,0,24,68,25,43
320.12,Orange,"3,621","2,962",7,12,295,0,18,327,11,316
320.13,Orange,"5,196","3,577",55,4,883,0,289,388,124,264
320.14,Orange,"6,771","3,713",212,625,797,0,"1,170",254,13,241
320.15,Orange,"6,756","4,613",51,29,"1,358",0,151,554,66,488
320.2,Orange,"6,061","4,581",59,12,749,0,70,590,288,302
320.22,Orange,"6,518","4,178",138,69,632,0,"1,184",317,130,187
320.27,Orange,"6,418","4,049",56,37,906,26,639,705,115,590
320.28,Orange,"4,759","2,608",65,0,541,5,397,"1,143",29,"1,114"
320.29,Orange,"4,246","2,846",23,12,465,0,587,313,66,247
320.3,Orange,"3,472","2,791",16,15,336,0,125,189,78,111
320.31,Orange,"3,442","2,480",59,0,489,0,26,388,115,273
320.32,Orange,"2,782","2,093",15,13,320,0,179,162,33,129
320.33,Orange,"3,774","2,243",21,40,489,9,321,651,479,172
320.34,Orange,"5,156","3,651",96,0,992,0,44,373,106,267
320.35,Orange,"2,520","2,012",52,0,325,0,36,95,12,83
320.36,Orange,"3,456","2,907",12,0,357,11,44,125,40,85
320.37,Orange,"6,275","4,160",60,0,"1,715",0,161,179,146,33
320.38,Orange,"6,533","4,748",0,23,"1,050",23,90,599,266,333
320.39,Orange,"6,295","4,709",0,91,605,0,434,456,116,340
320.4,Orange,"2,562","1,885",13,0,346,0,130,188,6,182
320.41,Orange,953,733,4,24,84,2,80,26,0,26
320.42,Orange,"6,053","5,196",108,51,351,0,36,311,34,277
320.43,Orange,"3,215","2,667",46,0,253,0,25,224,51,173
320.44,Orange,"5,841","4,689",80,20,610,17,22,403,201,202
320.45,Orange,"3,622","2,948",114,6,185,35,19,315,130,185
320.46,Orange,"6,046","5,121",73,0,511,0,59,282,66,216
320.47,Orange,"4,413","3,276",204,12,382,0,167,372,81,291
320.48,Orange,"5,319","4,274",152,0,461,0,75,357,160,197
320.49,Orange,"10,408","7,842",54,67,"1,643",0,126,676,200,476
320.5,Orange,"4,909","3,499",101,29,496,0,45,739,244,495
320.51,Orange,"4,421","3,169",44,0,326,38,195,649,321,328
320.53,Orange,"8,606","6,152",238,0,"1,086",0,269,861,455,406
320.54,Orange,"5,473","3,993",186,0,413,0,412,469,26,443
320.55,Orange,"3,560","2,679",86,32,432,0,220,111,0,111
320.57,Orange,"7,924","5,966",0,101,785,92,27,953,72,881
320.58,Orange,"6,966","5,577",27,0,833,17,51,461,58,403
320.59,Orange,"8,966","6,695",234,0,"1,542",0,93,402,86,316
320.61,Orange,"6,087","4,563",0,0,554,25,32,913,219,694
320.62,Orange,"3,893","3,559",0,0,170,0,47,117,58,59
320.63,Orange,"7,952","6,289",194,43,642,0,25,759,49,710
320.64,Orange,"2,691","2,107",51,0,341,0,122,70,24,46
320.65,Orange,"5,594","4,150",45,52,921,0,61,365,35,330
320.66,Orange,"5,448","3,896",111,0,801,0,25,615,145,470
421.06,Orange,"1,952","1,542",12,0,235,0,120,43,0,43
421.07,Orange,"3,430","2,453",0,0,50,7,834,86,53,33
421.08,Orange,"5,205","4,176",67,43,138,0,344,437,38,399
421.09,Orange,"4,661","3,798",7,33,143,0,386,294,144,150
421.11,Orange,"5,678","5,040",0,54,58,15,302,209,62,147
421.12,Orange,"7,918","5,987",37,60,"1,108",0,108,618,287,331
421.13,Orange,"4,459","3,693",109,20,153,0,190,294,111,183
421.14,Orange,"3,694","3,174",94,34,87,0,79,226,118,108
421.15,Orange,"1,272",959,0,0,201,0,78,34,0,34
421.16,Orange,"6,590","5,582",0,0,44,43,302,619,263,356
422.01,Orange,"5,014","4,043",70,0,89,23,504,285,51,234
422.03,Orange,"9,313","8,125",116,14,428,0,114,516,39,477
422.05,Orange,"6,217","4,631",105,0,234,0,819,428,123,305
422.06,Orange,"3,748","3,332",101,0,90,0,38,187,39,148
423.05,Orange,"3,504","3,183",0,0,130,0,92,99,20,79
423.07,Orange,"6,966","3,871",142,0,"1,684",0,508,761,191,570
423.11,Orange,"6,536","5,502",239,0,330,0,272,193,25,168
423.12,Orange,"8,737","4,585",17,26,206,0,"3,559",344,282,62
423.13,Orange,"6,020","4,729",0,65,309,0,700,217,92,125
423.15,Orange,"5,934","4,203",317,0,626,0,394,394,21,373
423.17,Orange,"3,281","2,618",25,0,261,90,41,246,47,199
423.19,Orange,"3,779","2,542",110,0,787,21,6,313,36,277
423.2,Orange,"6,359","4,465",110,0,702,0,512,570,30,540
423.23,Orange,"4,883","4,077",227,0,209,0,92,278,45,233
423.24,Orange,"4,167","3,713",38,66,88,0,107,155,98,57
423.25,Orange,"3,489","2,681",45,0,470,0,124,169,102,67
423.26,Orange,"4,564","3,039",252,0,535,15,86,637,77,560
423.27,Orange,"4,852","3,632",26,3,524,72,178,417,70,347
423.28,Orange,"2,616","2,116",1,0,294,0,63,142,55,87
423.29,Orange,"3,971","3,150",125,0,223,0,111,362,118,244
423.3,Orange,"6,650","4,349",95,0,849,23,"1,000",334,111,223
423.31,Orange,"6,259","4,289",0,0,231,0,998,741,288,453
423.32,Orange,"5,552","4,511",25,0,471,0,19,526,404,122
423.33,Orange,"4,291","3,117",20,11,730,38,117,258,52,206
423.34,Orange,"5,456","3,716",119,28,759,0,332,502,32,470
423.35,Orange,"5,894","3,832",52,0,"1,150",41,315,504,164,340
423.36,Orange,"3,755","2,774",25,0,497,0,35,424,262,162
423.37,Orange,"3,381","2,833",35,0,268,0,85,160,38,122
423.38,Orange,"5,047","4,467",151,0,115,0,23,291,159,132
423.39,Orange,"3,468","2,833",13,0,274,0,183,165,53,112
423.4,Orange,"2,437","1,165",0,0,30,0,841,401,370,31
423.41,Orange,"5,924","4,739",0,23,79,0,370,713,214,499
524.08,Orange,"5,905","4,367",0,36,"1,019",0,344,139,0,139
524.1,Orange,"5,174","3,848",51,198,679,0,166,232,35,197
524.11,Orange,"5,254","2,382",129,15,598,10,"1,293",827,600,227
524.15,Orange,"4,322","3,607",15,8,447,0,63,182,50,132
524.16,Orange,"4,528","3,340",55,53,458,0,380,242,1,241
524.17,Orange,"7,281","3,095",18,0,"2,938",71,133,"1,026",871,155
524.19,Orange,"3,508","1,328",43,0,"1,658",0,11,468,67,401
524.21,Orange,"7,562","2,865",0,0,"4,328",0,118,251,0,251
524.22,Orange,"10,693","5,453",897,0,"3,123",0,270,950,372,578
524.23,Orange,"5,156","3,450",201,0,"1,003",0,127,375,28,347
524.24,Orange,"5,052","3,296",7,278,938,0,127,406,192,214
524.25,Orange,"6,164","3,328",177,0,797,5,877,980,697,283
524.27,Orange,"5,479","3,396",43,55,"1,554",37,25,369,53,316
524.28,Orange,"6,000","4,324",57,0,"1,072",22,95,430,14,416
524.29,Orange,"8,182","2,655",59,105,"5,012",0,0,351,211,140
524.3,Orange,"15,121","6,440",21,0,"7,297",0,691,672,154,518
524.31,Orange,"4,139","1,261",0,0,"2,484",0,31,363,69,294
524.32,Orange,"7,142","2,792",243,0,"3,628",0,157,322,0,322
524.33,Orange,"13,041","5,188",384,16,"6,409",42,124,878,61,817
524.34,Orange,"5,844","2,877",0,0,"2,710",0,50,207,114,93
524.35,Orange,"5,094","1,513",0,0,"3,117",0,163,301,84,217
524.36,Orange,"4,880","1,144",20,0,"3,358",0,332,26,0,26
524.37,Orange,"4,264","1,178",19,0,"2,581",54,307,125,0,125
524.38,Orange,"3,948","1,441",18,23,"2,142",1,62,261,115,146
524.39,Orange,"4,860","1,617",0,0,"2,915",39,28,261,138,123
525.02,Orange,"5,712","3,611",11,42,"1,118",0,712,218,60,158
525.05,Orange,"4,701","1,844",152,12,"2,029",0,397,267,69,198
525.06,Orange,"2,606","1,517",121,0,775,0,84,109,27,82
525.11,Orange,"6,432","4,099",15,0,"1,719",161,24,414,47,367
525.13,Orange,"5,295","3,515",60,0,"1,612",0,22,86,42,44
525.14,Orange,"5,559","3,450",0,19,"1,393",0,125,572,97,475
525.18,Orange,"6,643","4,249",76,14,"1,978",0,75,251,29,222
525.19,Orange,"4,213","2,517",107,64,"1,156",68,62,239,18,221
525.2,Orange,"3,628","2,152",34,0,831,0,198,413,129,284
525.21,Orange,"5,538","3,181",285,0,"1,283",0,103,686,452,234
525.22,Orange,"3,932","1,833",0,0,"1,673",0,173,253,121,132
525.23,Orange,"4,262","1,847",124,0,"1,969",46,40,236,31,205
525.24,Orange,"7,860","3,299",553,42,"2,991",0,569,406,189,217
525.26,Orange,"4,565","2,343",38,0,"1,627",0,242,315,67,248
525.27,Orange,"8,199","3,517",176,8,"2,996",193,202,"1,107",108,999
525.28,Orange,"4,261","1,962",32,29,"2,065",0,36,137,0,137
525.29,Orange,"2,884",837,75,0,"1,608",0,29,335,0,335
525.3,Orange,"6,403","2,090",16,0,"3,819",0,43,435,0,435
525.31,Orange,"4,435","2,148",56,32,"1,906",0,0,293,20,273
525.32,Orange,"5,707","2,555",19,0,"2,767",0,237,129,0,129
525.33,Orange,"6,672","2,448",55,0,"3,645",0,79,445,0,445
525.34,Orange,"2,722","1,743",24,0,617,0,125,213,21,192
525.35,Orange,"5,382","1,236",55,0,"3,495",19,39,538,0,538
626.05,Orange,"2,775","2,491",11,0,98,0,139,36,9,27
626.1,Orange,"10,363","5,281",307,0,"3,973",0,437,365,111,254
626.11,Orange,"4,542","1,750",191,0,"2,057",0,204,340,91,249
626.14,Orange,"17,213","8,456",474,35,"5,476",64,773,"1,935",529,"1,406"
626.19,Orange,"3,811","3,161",24,0,32,0,210,384,0,384
626.2,Orange,"4,738","4,196",55,15,147,0,76,249,211,38
626.22,Orange,"3,909","2,645",19,0,"1,052",0,26,167,114,53
626.25,Orange,"4,391","2,985",11,0,580,0,553,262,119,143
626.26,Orange,"2,683","1,003",40,0,"1,134",0,340,166,0,166
626.27,Orange,"3,834","1,431",107,0,"2,043",17,161,75,0,75
626.28,Orange,"3,672","1,747",98,85,"1,418",22,72,230,47,183
626.29,Orange,"2,210","1,280",7,0,834,0,5,84,0,84
626.3,Orange,"1,636","1,240",36,0,280,0,0,80,0,80
626.31,Orange,"3,044","1,944",0,13,869,0,13,205,54,151
626.32,Orange,"3,926","3,478",16,0,83,0,68,281,53,228
626.33,Orange,"6,370","5,034",26,0,942,13,145,210,26,184
626.34,Orange,"4,815","3,570",176,24,602,0,99,344,101,243
626.35,Orange,"4,620","3,355",0,90,849,11,135,180,70,110
626.36,Orange,"3,950","2,484",140,0,369,0,625,332,27,305
626.37,Orange,"5,267","3,754",67,0,537,0,220,689,53,636
626.38,Orange,"6,129","3,410",489,61,"1,432",0,365,372,230,142
626.39,Orange,"7,994","5,246",198,15,"1,466",19,183,867,259,608
626.4,Orange,"3,364","2,494",69,2,475,0,259,65,10,55
626.41,Orange,"4,941","3,230",92,0,825,0,553,241,94,147
626.42,Orange,"3,084","2,586",204,0,127,0,17,150,121,29
626.43,Orange,"6,236","4,302",6,0,"1,465",20,46,397,69,328
626.45,Orange,"6,266","4,731",15,0,"1,419",0,0,101,69,32
626.46,Orange,"3,160","2,392",59,0,466,0,123,120,0,120
626.47,Orange,"4,724","3,199",254,9,692,0,570,0,0,0
626.48,Orange,"2,806","2,067",0,0,599,0,76,64,0,64
626.49,Orange,"3,150","2,537",0,2,509,0,53,49,0,49
626.5,Orange,"4,748","2,984",100,0,"1,340",0,0,324,0,324
626.51,Orange,"3,028","2,167",32,0,633,0,132,64,0,64
626.52,Orange,"5,180","3,792",52,14,936,0,90,296,0,296
626.53,Orange,"5,672","2,675",133,0,"2,371",0,83,410,64,346
626.54,Orange,"7,586","3,993",0,0,"2,932",0,0,661,190,471
626.55,Orange,"5,076","2,288",49,0,"2,494",0,0,245,32,213
626.56,Orange,"4,110","3,929",0,24,135,0,22,0,0,0
626.57,Orange,"3,304","2,799",0,85,323,0,0,97,75,22
626.58,Orange,"5,313","4,652",0,0,320,0,46,295,88,207
627.01,Orange,"2,755","2,620",61,0,0,0,17,57,11,46
627.02,Orange,"4,420","3,765",0,30,151,0,112,362,73,289
628,Orange,"4,539","3,621",61,0,58,29,67,703,165,538
629,Orange,"1,655","1,499",0,1,131,0,13,11,11,0
630.04,Orange,"6,246","5,143",239,46,451,0,35,332,55,277
630.05,Orange,"1,402","1,316",15,0,57,0,0,14,0,14
630.06,Orange,"2,710","2,638",0,0,50,0,0,22,22,0
630.07,Orange,"6,483","5,174",0,0,719,0,347,243,65,178
630.08,Orange,"1,788","1,134",0,0,134,0,8,512,374,138
630.09,Orange,"1,744","1,544",0,0,154,0,0,46,4,42
630.1,Orange,"6,635","5,582",176,0,278,0,106,493,227,266
631.01,Orange,"3,077","2,188",196,29,181,0,227,256,64,192
631.02,Orange,"6,151","5,133",12,49,265,0,252,440,226,214
631.03,Orange,"3,731","3,338",18,0,146,0,121,108,36,72
632.01,Orange,"3,772","3,094",20,0,185,0,303,170,32,138
632.02,Orange,"3,718","3,035",16,0,121,0,330,216,89,127
633.01,Orange,"3,247","2,954",38,0,67,23,40,125,51,74
633.02,Orange,"4,094","3,662",32,1,158,0,14,227,38,189
634,Orange,"5,053","4,715",11,12,61,0,92,162,0,162
635,Orange,"6,650","5,847",0,0,90,126,76,511,374,137
636.01,Orange,"4,409","3,250",161,6,246,0,470,276,163,113
636.03,Orange,"5,290","4,664",5,6,334,0,105,176,13,163
636.04,Orange,"3,793","2,353",12,112,168,0,961,187,48,139
636.05,Orange,"5,580","2,568",36,0,218,0,"1,909",849,637,212
637.01,Orange,"6,211","2,598",49,125,365,31,"2,629",414,54,360
637.02,Orange,"6,234","3,723",0,13,393,63,"1,449",593,428,165
638.02,Orange,"3,062","2,508",34,0,217,13,155,135,43,92
638.03,Orange,"4,112","2,986",39,36,220,90,590,151,95,56
638.05,Orange,"2,632","1,999",0,0,237,0,266,130,53,77
638.06,Orange,"3,655","2,752",14,0,200,13,244,432,35,397
638.07,Orange,"5,071","3,596",149,0,386,0,346,594,348,246
638.08,Orange,"5,544","3,019",10,76,117,9,"2,088",225,90,135
639.02,Orange,"6,934","4,870",173,0,914,125,593,259,94,165
639.03,Orange,"3,979","2,801",34,0,634,114,130,266,176,90
639.04,Orange,"4,425","2,428",69,38,672,36,942,240,72,168
639.05,Orange,"3,934","3,075",14,0,403,0,209,233,53,180
639.06,Orange,"7,083","3,711",189,210,525,6,"2,121",321,69,252
639.08,Orange,"5,846","3,561",131,51,"1,394",0,456,253,73,180
639.09,Orange,"3,474","1,714",116,0,957,115,388,184,57,127
639.1,Orange,"4,706","2,452",264,0,"1,054",88,675,173,82,91
740.03,Orange,"3,882","2,426",119,47,594,6,493,197,103,94
740.04,Orange,"7,896","2,608",48,46,"1,466",0,"3,072",656,381,275
740.05,Orange,"7,836","3,743",67,40,916,0,"2,847",223,211,12
740.06,Orange,"6,101","3,331",119,68,537,92,"1,894",60,7,53
741.02,Orange,"6,699","2,175",1,8,546,0,"3,218",751,667,84
741.03,Orange,"5,870","2,509",0,110,60,0,"2,716",475,415,60
741.06,Orange,"6,922","3,193",40,0,771,0,"2,422",496,443,53
741.07,Orange,"6,223","3,247",272,0,"1,740",0,755,209,107,102
741.08,Orange,"5,056","2,265",23,10,488,0,"2,036",234,234,0
741.09,Orange,"3,207","1,573",0,15,515,0,"1,036",68,57,11
741.1,Orange,"3,813","2,146",84,0,"1,109",0,368,106,78,28
741.11,Orange,"6,086","2,612",44,32,"1,329",1,"1,985",83,14,69
742,Orange,"9,492","4,901",0,193,105,13,"3,417",863,572,291
743,Orange,"4,079","1,734",0,0,137,0,"2,010",198,165,33
744.03,Orange,"6,048","2,755",0,106,18,76,"3,093",0,0,0
